record_id,document_type,image_filename,extracted_date,extracted_store_or_dept,extracted_amount,extracted_scores,extracted_note,confidence,preprocessing_used,error_message
S-0064,survey,data/input_images/surveys/survey_064_S-0064.jpg,2026-04-06,운영팀,,"4,3,5",메뉴 구성이 좋음,0.988,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0115,receipt,data/input_images/receipts/receipt_115_R-0115.jpg,2026-05-10,AI세미나센터,142450,,프로젝트 자료,0.9442,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0013,survey,data/input_images/surveys/survey_013_S-0013.jpg,2026-05-20,재무팀,,"5,5,3",보고서 자동화 유용,0.9736,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0070,receipt,data/input_images/receipts/receipt_070_R-0070.jpg,2026-05-28,그린오피스,91300,,대시보드 검토,0.9542,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0024,receipt,data/input_images/receipts/receipt_024_R-0024.jpg,2026-06-28,업무자동화카페,240350,,운영비 처리,0.962,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0037,survey,data/input_images/surveys/survey_037_S-0037.jpg,2026-05-31,교육팀,,"3,4,3",속도 개선 필요,0.978,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0052,receipt,data/input_images/receipts/receipt_052_R-0052.jpg,2026-03-03,서울프린트,135300,,실습 준비용,0.9542,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0011,receipt,data/input_images/receipts/receipt_011_R-0011.jpg,2026-04-01,모두카페,167750,,프로젝트 자료,0.961,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0053,receipt,data/input_images/receipts/receipt_053_R-0053.jpg,2026-05-24,서울프린트,150700,,프로젝트 자료,0.9845,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0026,receipt,data/input_images/receipts/receipt_026_R-0026.jpg,2026-03-29,스마트오피스,183700,,OCR 테스트용,0.9845,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0092,survey,data/input_images/surveys/survey_092_S-0092.jpg,2026-06-17,마케팅팀,,"2,2,3",보고서 자동화 유용,0.9734,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0062,receipt,data/input_images/receipts/receipt_062_R-0062.jpg,2026-05-22,데이터랩서점,77000,,프로젝트 자료,0.9745,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0010,receipt,data/input_images/receipts/receipt_010_R-0010.jpg,2026-05-08,데이터랩서점,152900,,OCR 테스트용,0.9578,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0117,receipt,data/input_images/receipts/receipt_117_R-0117.jpg,2026-06-29,스마트오피스,220550,,현장 실습비,0.9657,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0027,survey,data/input_images/surveys/survey_027_S-0027.jpg,2026-04-13,마케팅팀,,"4,5,5",데이터 보정 기능 좋음,0.9832,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0104,survey,data/input_images/surveys/survey_104_S-0104.jpg,2026-04-26,마케팅팀,,"5,2,5",데이터 보정 기능 좋음,0.972,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0045,survey,data/input_images/surveys/survey_045_S-0045.jpg,2026-06-25,데이터팀,,"3,5,3",모바일 화면 개선,0.9832,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0106,receipt,data/input_images/receipts/receipt_106_R-0106.jpg,2026-06-25,AI세미나센터,86350,,현장 실습비,0.9542,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0044,receipt,data/input_images/receipts/receipt_044_R-0044.jpg,2026-06-02,모두카페,224950,,실습 준비용,0.9845,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0062,survey,data/input_images/surveys/survey_062_S-0062.jpg,2026-05-22,교육팀,,"5,2,5",메뉴 구성이 좋음,0.9757,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0086,receipt,data/input_images/receipts/receipt_086_R-0086.jpg,2026-03-17,업무자동화카페,180400,,OCR 테스트용,0.9722,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0027,receipt,data/input_images/receipts/receipt_027_R-0027.jpg,2026-04-01,데이터랩서점,85250,,교육자료 준비,0.9757,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0099,survey,data/input_images/surveys/survey_099_S-0099.jpg,2026-05-21,운영팀,,"3,2,5",차트 설명이 필요함,0.9544,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0058,receipt,data/input_images/receipts/receipt_058_R-0058.jpg,2026-03-31,데이터랩서점,68750,,팀 회의 사용,0.95,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0112,receipt,data/input_images/receipts/receipt_112_R-0112.jpg,2026-04-28,디지털스캔샵,206250,,교육자료 준비,0.9793,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0095,survey,data/input_images/surveys/survey_095_S-0095.jpg,2026-04-09,운영팀,,"2,5,1",속도 개선 필요,0.957,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0036,survey,data/input_images/surveys/survey_036_S-0036.jpg,2026-05-20,기획팀,,"4,4,1",차트 설명이 필요함,0.9832,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0024,survey,data/input_images/surveys/survey_024_S-0024.jpg,2026-05-18,교육팀,,"5,4,2",데이터 보정 기능 좋음,0.9442,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0063,receipt,data/input_images/receipts/receipt_063_R-0063.jpg,2026-07-07,서울프린트,165550,,현장 실습비,0.9657,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0101,receipt,data/input_images/receipts/receipt_101_R-0101.jpg,2026-03-06,테크문구,128150,,현장 실습비,0.951,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0111,survey,data/input_images/surveys/survey_111_S-0111.jpg,2026-05-28,교육팀,,"5,3,5",이미지 업로드 편리,0.9693,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0066,receipt,data/input_images/receipts/receipt_066_R-0066.jpg,2026-04-24,스마트오피스,125400,,OCR 테스트용,0.9734,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0082,survey,data/input_images/surveys/survey_082_S-0082.jpg,2026-04-20,운영팀,,"5,4,3",모바일 화면 개선,0.988,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0097,receipt,data/input_images/receipts/receipt_097_R-0097.jpg,2026-04-25,클라우드문구,146850,,실습 준비용,0.9458,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0057,survey,data/input_images/surveys/survey_057_S-0057.jpg,2026-06-23,재무팀,,"3,2,3",대시보드가 보기 쉬움,0.95,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0041,receipt,data/input_images/receipts/receipt_041_R-0041.jpg,2026-05-06,스마트오피스,149050,,OCR 테스트용,0.9736,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0056,survey,data/input_images/surveys/survey_056_S-0056.jpg,2026-06-24,교육팀,,"4,4,2",속도 개선 필요,0.9534,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0098,receipt,data/input_images/receipts/receipt_098_R-0098.jpg,2026-06-16,그린오피스,92400,,실습 준비용,0.9503,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0086,survey,data/input_images/surveys/survey_086_S-0086.jpg,2026-04-22,재무팀,,"2,5,4",OCR 결과 확인 필요,0.977,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0040,survey,data/input_images/surveys/survey_040_S-0040.jpg,2026-05-07,운영팀,,"3,5,5",데이터 보정 기능 좋음,0.9736,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0053,survey,data/input_images/surveys/survey_053_S-0053.jpg,2026-04-26,기획팀,,"5,3,5",보고서 자동화 유용,0.9657,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0079,receipt,data/input_images/receipts/receipt_079_R-0079.jpg,2026-06-12,스마트오피스,140250,,운영비 처리,0.9458,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0060,survey,data/input_images/surveys/survey_060_S-0060.jpg,2026-05-11,데이터팀,,"3,3,5",이미지 업로드 편리,0.9542,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0090,receipt,data/input_images/receipts/receipt_090_R-0090.jpg,2026-03-22,업무자동화카페,187000,,교육자료 준비,0.9757,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0051,receipt,data/input_images/receipts/receipt_051_R-0051.jpg,2026-03-22,스마트오피스,128700,,실습 준비용,0.972,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0055,survey,data/input_images/surveys/survey_055_S-0055.jpg,2026-07-09,기획팀,,"3,2,5",속도 개선 필요,0.988,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0080,survey,data/input_images/surveys/survey_080_S-0080.jpg,2026-05-10,데이터팀,,"2,3,3",대시보드가 보기 쉬움,0.9757,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0110,survey,data/input_images/surveys/survey_110_S-0110.jpg,2026-03-06,데이터팀,,"5,3,3",입력 절차가 간단함,0.9849,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0014,receipt,data/input_images/receipts/receipt_014_R-0014.jpg,2026-03-14,디지털스캔샵,147400,,실습 준비용,0.9736,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0032,receipt,data/input_images/receipts/receipt_032_R-0032.jpg,2026-05-24,그린오피스,315150,,OCR 테스트용,0.9736,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0001,survey,data/input_images/surveys/survey_001_S-0001.jpg,2026-03-10,영업팀,,"3,5,1",이미지 업로드 편리,0.961,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0002,survey,data/input_images/surveys/survey_002_S-0002.jpg,2026-06-29,인사팀,,"4,5,4",대시보드가 보기 쉬움,0.9849,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0108,survey,data/input_images/surveys/survey_108_S-0108.jpg,2026-05-25,재무팀,,"5,2,3",차트 설명이 필요함,0.9732,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0092,receipt,data/input_images/receipts/receipt_092_R-0092.jpg,2026-05-09,데이터랩서점,281050,,팀 회의 사용,0.988,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0083,receipt,data/input_images/receipts/receipt_083_R-0083.jpg,2026-03-04,AI세미나센터,230450,,팀 회의 사용,0.988,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0110,receipt,data/input_images/receipts/receipt_110_R-0110.jpg,2026-06-21,스마트오피스,48950,,팀 회의 사용,0.951,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0065,receipt,data/input_images/receipts/receipt_065_R-0065.jpg,2026-03-14,테크문구,334400,,실습 준비용,0.978,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0090,survey,data/input_images/surveys/survey_090_S-0090.jpg,2026-06-16,재무팀,,"4,3,4",모바일 화면 개선,0.9832,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0017,receipt,data/input_images/receipts/receipt_017_R-0017.jpg,2026-05-04,서울프린트,111650,,교육자료 준비,0.9845,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0019,survey,data/input_images/surveys/survey_019_S-0019.jpg,2026-04-24,재무팀,,"4,5,2",이미지 업로드 편리,0.978,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0039,survey,data/input_images/surveys/survey_039_S-0039.jpg,2026-06-09,재무팀,,"2,5,2",모바일 화면 개선,0.95,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0102,survey,data/input_images/surveys/survey_102_S-0102.jpg,2026-05-11,데이터팀,,"4,5,5",OCR 결과 확인 필요,0.9693,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0031,receipt,data/input_images/receipts/receipt_031_R-0031.jpg,2026-04-25,모두카페,19800,,대시보드 검토,0.9793,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0036,receipt,data/input_images/receipts/receipt_036_R-0036.jpg,2026-04-19,클라우드문구,147400,,대시보드 검토,0.9757,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0082,receipt,data/input_images/receipts/receipt_082_R-0082.jpg,2026-05-27,클라우드문구,188100,,현장 실습비,0.9832,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0015,receipt,data/input_images/receipts/receipt_015_R-0015.jpg,2026-03-16,클라우드문구,243100,,교육자료 준비,0.962,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0113,receipt,data/input_images/receipts/receipt_113_R-0113.jpg,2026-05-25,스마트오피스,146300,,프로젝트 자료,0.9736,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0015,survey,data/input_images/surveys/survey_015_S-0015.jpg,2026-04-27,인사팀,,"3,5,3",입력 절차가 간단함,0.9442,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0050,survey,data/input_images/surveys/survey_050_S-0050.jpg,2026-04-28,데이터팀,,"2,2,2",이미지 업로드 편리,0.942,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0029,survey,data/input_images/surveys/survey_029_S-0029.jpg,2026-05-23,영업팀,,"4,3,3",보고서 자동화 유용,0.9734,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0070,survey,data/input_images/surveys/survey_070_S-0070.jpg,2026-06-21,인사팀,,"5,4,3",보고서 자동화 유용,0.9845,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0021,survey,data/input_images/surveys/survey_021_S-0021.jpg,2026-05-10,마케팅팀,,"4,3,1",데이터 보정 기능 좋음,0.9793,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0080,receipt,data/input_images/receipts/receipt_080_R-0080.jpg,2026-04-22,그린오피스,91300,,교육자료 준비,0.9845,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0038,survey,data/input_images/surveys/survey_038_S-0038.jpg,2026-04-20,영업팀,,"4,2,5",입력 절차가 간단함,0.9834,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0029,receipt,data/input_images/receipts/receipt_029_R-0029.jpg,2026-05-18,데이터랩서점,183150,,실습 준비용,0.988,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0054,receipt,data/input_images/receipts/receipt_054_R-0054.jpg,2026-06-15,스마트오피스,160050,,현장 실습비,0.9757,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0002,receipt,data/input_images/receipts/receipt_002_R-0002.jpg,2026-07-02,스마트오피스,193600,,실습 준비용,0.931,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0034,receipt,data/input_images/receipts/receipt_034_R-0034.jpg,2026-04-13,스마트오피스,255750,,실습 준비용,0.9542,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0020,receipt,data/input_images/receipts/receipt_020_R-0020.jpg,2026-05-10,그린오피스,117150,,팀 회의 사용,0.961,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0040,receipt,data/input_images/receipts/receipt_040_R-0040.jpg,2026-04-24,서울프린트,123200,,실습 준비용,0.9793,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0037,receipt,data/input_images/receipts/receipt_037_R-0037.jpg,2026-04-03,그린오피스,94050,,현장 실습비,0.9832,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0008,receipt,data/input_images/receipts/receipt_008_R-0008.jpg,2026-04-09,스마트오피스,195250,,운영비 처리,0.9845,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0033,receipt,data/input_images/receipts/receipt_033_R-0033.jpg,2026-04-19,테크문구,97900,,대시보드 검토,0.972,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0102,receipt,data/input_images/receipts/receipt_102_R-0102.jpg,2026-03-01,서울프린트,193050,,현장 실습비,0.9849,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0118,survey,data/input_images/surveys/survey_118_S-0118.jpg,2026-04-09,영업팀,,"5,2,3",모바일 화면 개선,0.988,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0023,receipt,data/input_images/receipts/receipt_023_R-0023.jpg,2026-04-30,디지털스캔샵,153450,,실습 준비용,0.9636,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0039,receipt,data/input_images/receipts/receipt_039_R-0039.jpg,2026-04-10,데이터랩서점,161700,,교육자료 준비,0.9834,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0034,survey,data/input_images/surveys/survey_034_S-0034.jpg,2026-04-29,데이터팀,,"3,4,4",대시보드가 보기 쉬움,0.9845,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0028,receipt,data/input_images/receipts/receipt_028_R-0028.jpg,2026-05-12,모두카페,200200,,현장 실습비,0.9832,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0059,receipt,data/input_images/receipts/receipt_059_R-0059.jpg,2026-07-05,업무자동화카페,94050,,OCR 테스트용,0.9722,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0120,receipt,data/input_images/receipts/receipt_120_R-0120.jpg,2026-07-03,데이터랩서점,274450,,프로젝트 자료,0.9849,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0098,survey,data/input_images/surveys/survey_098_S-0098.jpg,2026-04-20,운영팀,,"5,3,2",대시보드가 보기 쉬움,0.9581,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0100,survey,data/input_images/surveys/survey_100_S-0100.jpg,2026-03-27,기획팀,,"3,3,5",보고서 자동화 유용,0.961,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0030,survey,data/input_images/surveys/survey_030_S-0030.jpg,2026-05-19,인사팀,,"5,2,1",OCR 결과 확인 필요,0.9693,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0114,receipt,data/input_images/receipts/receipt_114_R-0114.jpg,2026-04-21,업무자동화카페,171600,,실습 준비용,0.972,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0066,survey,data/input_images/surveys/survey_066_S-0066.jpg,2026-05-29,인사팀,,"4,3,1",속도 개선 필요,0.96,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0032,survey,data/input_images/surveys/survey_032_S-0032.jpg,2026-04-03,교육팀,,"4,3,3",입력 절차가 간단함,0.972,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0022,survey,data/input_images/surveys/survey_022_S-0022.jpg,2026-06-17,운영팀,,"2,2,4",메뉴 구성이 좋음,0.9636,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0074,survey,data/input_images/surveys/survey_074_S-0074.jpg,2026-03-26,운영팀,,"3,4,5",속도 개선 필요,0.9734,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0058,survey,data/input_images/surveys/survey_058_S-0058.jpg,2026-05-25,인사팀,,"3,5,1",속도 개선 필요,0.9622,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0118,receipt,data/input_images/receipts/receipt_118_R-0118.jpg,2026-05-31,클라우드문구,93500,,팀 회의 사용,0.9732,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0007,receipt,data/input_images/receipts/receipt_007_R-0007.jpg,2026-05-24,데이터랩서점,119350,,프로젝트 자료,0.9542,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0083,survey,data/input_images/surveys/survey_083_S-0083.jpg,2026-05-27,운영팀,,"5,3,2",속도 개선 필요,0.9834,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0072,survey,data/input_images/surveys/survey_072_S-0072.jpg,2026-03-13,영업팀,,"5,4,4",데이터 보정 기능 좋음,0.9832,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0006,receipt,data/input_images/receipts/receipt_006_R-0006.jpg,2026-06-27,업무자동화카페,127050,,교육자료 준비,0.972,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0120,survey,data/input_images/surveys/survey_120_S-0120.jpg,2026-05-19,인사팀,,"2,3,3",모바일 화면 개선,0.9793,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0067,survey,data/input_images/surveys/survey_067_S-0067.jpg,2026-07-02,마케팅팀,,"5,4,5",메뉴 구성이 좋음,0.9422,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0077,receipt,data/input_images/receipts/receipt_077_R-0077.jpg,2026-04-04,업무자동화카페,63800,,프로젝트 자료,0.9722,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0021,receipt,data/input_images/receipts/receipt_021_R-0021.jpg,2026-04-04,데이터랩서점,20350,,대시보드 검토,0.9849,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0023,survey,data/input_images/surveys/survey_023_S-0023.jpg,2026-05-23,기획팀,,"3,2,5",보고서 자동화 유용,0.962,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0059,survey,data/input_images/surveys/survey_059_S-0059.jpg,2026-04-19,인사팀,,"3,4,1",OCR 결과 확인 필요,0.987,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0010,survey,data/input_images/surveys/survey_010_S-0010.jpg,2026-03-12,운영팀,,"5,3,4",속도 개선 필요,0.961,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0025,survey,data/input_images/surveys/survey_025_S-0025.jpg,2026-06-27,재무팀,,"2,4,2",차트 설명이 필요함,0.9845,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0087,survey,data/input_images/surveys/survey_087_S-0087.jpg,2026-03-29,데이터팀,,"5,2,2",차트 설명이 필요함,0.9558,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0112,survey,data/input_images/surveys/survey_112_S-0112.jpg,2026-06-28,기획팀,,"5,2,3",속도 개선 필요,0.9736,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0004,receipt,data/input_images/receipts/receipt_004_R-0004.jpg,2026-06-14,서울프린트,206250,,팀 회의 사용,0.9693,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0084,survey,data/input_images/surveys/survey_084_S-0084.jpg,2026-03-24,재무팀,,"4,3,5",데이터 보정 기능 좋음,0.95,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0043,receipt,data/input_images/receipts/receipt_043_R-0043.jpg,2026-04-29,테크문구,166650,,운영비 처리,0.9442,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
